,noise level,max amplitude,above-thld pixels,above-thld pixels std,algorithm,c,reg,eps
60,0.0,1.8188701735996649,"[[20 20 20 20 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22 23 23
  23 23 23 23 23 23 23 23 24 24 24 24 24 24 24 24 24 24 24 25 25 25 25 25
  25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27
  27 27 27 27 28 28 28 28 28 28 28 28 28 28 29 29 29 29 29 29 29 29 30 30
  30 30 30 30]
 [22 23 24 25 20 21 22 23 24 25 26 27 19 20 21 22 23 24 25 26 27 28 19 20
  21 22 23 24 25 26 27 28 18 19 20 21 22 23 24 25 26 27 28 18 19 20 21 22
  23 24 25 26 27 28 29 18 19 20 21 22 23 24 25 26 27 28 19 20 21 22 23 24
  25 26 27 28 19 20 21 22 23 24 25 26 27 28 20 21 22 23 24 25 26 27 21 22
  23 24 25 26]]","[[19.83683442]
 [20.04731902]]",debiased_sinkhorn,,,0.7
61,0.0,1.4433090654507852,"[[19 19 19 19 20 20 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 22 22
  22 22 22 22 22 22 22 22 23 23 23 23 23 23 23 23 23 23 23 23 24 24 24 24
  24 24 24 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 25 25 26 26 26 26
  26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 28 28 28 28
  28 28 28 28 28 28 28 29 29 29 29 29 29 29 29 29 29 30 30 30 30 30 30 30
  30 31 31 31 31]
 [22 23 24 25 20 21 22 23 24 25 26 27 19 20 21 22 23 24 25 26 27 28 19 20
  21 22 23 24 25 26 27 28 18 19 20 21 22 23 24 25 26 27 28 29 18 19 20 21
  22 23 24 25 26 27 28 29 18 19 20 21 22 23 24 25 26 27 28 29 18 19 20 21
  22 23 24 25 26 27 28 29 18 19 20 21 22 23 24 25 26 27 28 29 18 19 20 21
  22 23 24 25 26 27 28 19 20 21 22 23 24 25 26 27 28 20 21 22 23 24 25 26
  27 22 23 24 25]]","[[25.66055338]
 [24.17651753]]",debiased_sinkhorn,,,0.9
62,0.0,2.2431614339461374,"[[17 17 17 17 17 18 18 18 18 18 18 18 18 19 19 19 19 19 19 19 19 19 20 20
  20 20 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22
  22 22 22 22 22 22 23 23 23 23 23 23 23 23 23 23 24 24 24 24 24 24 24 24
  24 25 25 25 25 25 25 25 25 26 26 26 26 26 26]
 [26 27 28 29 30 24 25 26 27 28 29 30 31 24 25 26 27 28 29 30 31 32 23 24
  25 26 27 28 29 30 31 32 23 24 25 26 27 28 29 30 31 32 33 23 24 25 26 27
  28 29 30 31 32 33 23 24 25 26 27 28 29 30 31 32 24 25 26 27 28 29 30 31
  32 24 25 26 27 28 29 30 31 25 26 27 28 29 30]]","[[17.05164569]
 [17.63421439]]",debiased_sinkhorn,,,1.0
63,0.0,1.1606796070836316,"[[15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 17 17 17 17 17 17 17
  17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 18 18 18 19 19 19 19 19 19
  19 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 21
  21 21 21 21 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22
  22 22 22 22 22 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 24 24 24 24
  24 24 24 24 24 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 25 25 25 26
  26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 28 28 28
  28 28 28 28]
 [25 26 27 28 29 30 31 23 24 25 26 27 28 29 30 31 32 22 23 24 25 26 27 28
  29 30 31 32 33 22 23 24 25 26 27 28 29 30 31 32 33 34 21 22 23 24 25 26
  27 28 29 30 31 32 33 34 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 21
  22 23 24 25 26 27 28 29 30 31 32 33 34 35 21 22 23 24 25 26 27 28 29 30
  31 32 33 34 35 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 21 22 23 24
  25 26 27 28 29 30 31 32 33 34 22 23 24 25 26 27 28 29 30 31 32 33 34 22
  23 24 25 26 27 28 29 30 31 32 33 23 24 25 26 27 28 29 30 31 32 25 26 27
  28 29 30 31]]","[[33.54847239]
 [35.04614898]]",debiased_sinkhorn,,,2.0
64,0.0,0.750859402965188,"[[13 13 13 13 13 13 13 14 14 14 14 14 14 14 14 14 14 14 15 15 15 15 15 15
  15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 17 17
  17 17 17 17 17 17 17 17 17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18
  18 18 18 18 18 18 18 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19
  19 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 21 21 21 21 21
  21 21 21 21 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22
  22 22 22 22 22 22 22 22 22 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23
  23 23 23 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 25 25 25
  25 25 25 25 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26
  26 26 26 26 26 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 28
  28 28 28 28 28 28 28 28 28 28 29 29 29 29 29 29 29 29 29 29 29 30 30 30
  30 30 30 30]
 [25 26 27 28 29 30 31 23 24 25 26 27 28 29 30 31 32 33 22 23 24 25 26 27
  28 29 30 31 32 33 34 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 20 21
  22 23 24 25 26 27 28 29 30 31 32 33 34 35 20 21 22 23 24 25 26 27 28 29
  30 31 32 33 34 35 36 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
  36 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 19 20 21 22 23
  24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28
  29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
  34 35 36 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 20 21 22
  23 24 25 26 27 28 29 30 31 32 33 34 35 36 20 21 22 23 24 25 26 27 28 29
  30 31 32 33 34 35 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 22 23 24
  25 26 27 28 29 30 31 32 33 34 23 24 25 26 27 28 29 30 31 32 33 25 26 27
  28 29 30 31]]","[[53.08012811]
 [53.80478811]]",debiased_sinkhorn,,,3.0
65,0.05,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.001
66,0.05,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.01
67,0.05,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.015
68,0.05,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.025
69,0.05,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.05
70,0.05,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.075
71,0.05,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.1
72,0.05,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.15
73,0.05,7.16244547370994,"[[19 19 19 20 20 20 20 20 21 21 21 21 21 21 22 22 22 22 22 22 23 23 23 23
  23 24 24 24]
 [27 28 29 26 27 28 29 30 25 26 27 28 29 30 25 26 27 28 29 30 26 27 28 29
  30 27 28 29]]","[[5.61248608]
 [5.50973165]]",debiased_sinkhorn,,,0.2
74,0.05,5.68535391148299,"[[19 19 19 19 20 20 20 20 20 20 21 21 21 21 21 21 21 22 22 22 22 22 22 22
  23 23 23 23 23 23 24 24 24 24 24]
 [26 27 28 29 25 26 27 28 29 30 25 26 27 28 29 30 31 25 26 27 28 29 30 31
  25 26 27 28 29 30 26 27 28 29 30]]","[[6.57918797]
 [7.35429903]]",debiased_sinkhorn,,,0.3
75,0.05,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.5
