noise_level,max_amplitude,center_distance,above-thld_pixels,above-thld_pixels_std,algorithm,eta,intensity,outer-inner,reg,samples,iters,sample,epsilon,iter
0.1,0.00027661882567868283,[24.32574142 24.7503691 ],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.1,minmax,10-100,0.5,5.0,,,,
0.1,0.00027661882567868283,[24.32574142 24.7503691 ],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.1,zeroone,10-100,0.5,5.0,,,,
0.1,0.0002766194611333899,[24.32574105 24.75036962],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.7,minmax,10-100,0.5,5.0,,,,
0.1,0.0002766194611333899,[24.32574105 24.75036962],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.7,zeroone,10-100,0.5,5.0,,,,
0.1,0.00017544585732485855,[24.39666794 24.64930232],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.001,minmax,10-100,0.9,5.0,,,,
0.1,0.00017544585732485855,[24.39666794 24.64930232],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.001,zeroone,10-100,0.9,5.0,,,,
0.1,0.00017544587676073198,[24.39666792 24.64930234],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.05,minmax,10-100,0.9,5.0,,,,
0.1,0.00017544587676073198,[24.39666792 24.64930234],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.05,zeroone,10-100,0.9,5.0,,,,
0.1,0.00017544589659325562,[24.39666791 24.64930235],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.1,minmax,10-100,0.9,5.0,,,,
0.1,0.00017544589659325562,[24.39666791 24.64930235],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.1,zeroone,10-100,0.9,5.0,,,,
0.1,0.00017544613458349924,[24.39666777 24.64930255],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.7,minmax,10-100,0.9,5.0,,,,
0.1,0.00017544613458349924,[24.39666777 24.64930255],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.7,zeroone,10-100,0.9,5.0,,,,
